"match_id","radiant_win","duration","radiant_score","dire_score","leagueid","start_time","lobby_type","game_mode","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10"
672054173,TRUE,1895,0,0,600,1400670667,1,2,89166519,92588070,103039499,108376607,111291593,111533846,113055496,113070925,113705693,131768153
672148553,FALSE,1971,0,0,600,1400674182,1,2,92588070,103039499,106863163,111291593,113055496,113070925,125576983,130416036,142750189,166851070
673294491,FALSE,2921,0,0,600,1400732057,1,2,21289303,89371588,98878010,110228930,111189717,114239371,131043881,136477860,138885864,177061211
673369513,TRUE,2516,0,0,600,1400737520,1,2,21289303,89371588,98878010,110228930,111189717,114239371,131043881,136477860,138885864,177061211
673481500,TRUE,1009,0,0,600,1400744386,1,2,88521435,92588070,103039499,111291593,112960848,113055496,113070925,117281554,124566285,136186119
673525899,FALSE,1651,0,0,600,1400746754,1,2,88521435,92588070,103039499,111291593,112960848,113055496,113070925,117281554,124566285,136186119
675053163,FALSE,3132,0,0,600,1400818483,1,2,21289303,92588070,103039499,110228930,111189717,111291593,113055496,113070925,131043881,138885864
675119381,FALSE,4206,0,0,600,1400823086,1,2,21289303,92588070,103039499,110228930,111189717,111291593,113055496,113070925,131043881,138885864
675240359,TRUE,3128,0,0,600,1400830322,1,2,21289303,92588070,103039499,110228930,111189717,111291593,113055496,113070925,131043881,138885864
675370824,TRUE,1473,0,0,600,1400836447,1,2,21289303,89371588,98878010,110228930,111189717,114239371,123854991,131043881,136477860,138885864
675437854,FALSE,3179,0,0,600,1400839222,1,2,21289303,89371588,98878010,110228930,111189717,114239371,123854991,131043881,136477860,138885864
675564163,FALSE,1088,0,0,600,1400843948,1,2,21289303,89371588,98878010,110228930,111189717,114239371,123854991,131043881,136477860,138885864
675623515,FALSE,1709,0,0,600,1400846199,1,2,21289303,89371588,98878010,110228930,111189717,114239371,123854991,131043881,136477860,138885864
677456941,FALSE,2045,0,0,600,1400926305,1,2,26316691,36547811,86840554,87586992,89782335,93712171,107644273,112250781,123787524,124049453
